dir,image,class,brightness
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12906/1,12906_idx5_x2551_y2601_class1.png,1,155.5344
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10272/0,10272_idx5_x651_y1851_class0.png,0,211.45
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12890/1,12890_idx5_x1551_y1251_class1.png,1,146.7312
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12898/0,12898_idx5_x1901_y851_class0.png,0,181.5544
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/15903/0,15903_idx5_x1401_y1651_class0.png,0,196.0236
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12880/0,12880_idx5_x1451_y501_class0.png,0,204.3916
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12880/1,12880_idx5_x1651_y2001_class1.png,1,150.578
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12242/1,12242_idx5_x1801_y901_class1.png,1,137.4404
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9126/0,9126_idx5_x151_y601_class0.png,0,214.8852
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9123/1,9123_idx5_x901_y1951_class1.png,1,151.1752
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12821/0,12821_idx5_x601_y551_class0.png,0,203.4452
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12818/0,12818_idx5_x1201_y1251_class0.png,0,208.2112
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/13402/1,13402_idx5_x2001_y401_class1.png,1,188.7472
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10272/0,10272_idx5_x2551_y601_class0.png,0,201.7788
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/14211/1,14211_idx5_x2551_y1001_class1.png,1,130.086
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9381/0,9381_idx5_x1551_y1401_class0.png,0,188.7808
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/14209/1,14209_idx5_x651_y1301_class1.png,1,180.4968
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9176/0,9176_idx5_x2401_y1851_class0.png,0,201.5128
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9325/0,9325_idx5_x2001_y1801_class0.png,0,209.7944
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10305/0,10305_idx5_x701_y1351_class0.png,0,183.2292
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/14211/1,14211_idx5_x1701_y1101_class1.png,1,162.5428
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9261/0,9261_idx5_x451_y1451_class0.png,0,206.386
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/16165/1,16165_idx5_x1551_y2351_class1.png,1,165.866
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12954/0,12954_idx5_x501_y651_class0.png,0,216.442
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9078/0,9078_idx5_x2701_y601_class0.png,0,171.9392
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12867/1,12867_idx5_x2451_y1901_class1.png,1,180.7636
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9075/0,9075_idx5_x401_y1651_class0.png,0,196.6528
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/12955/0,12955_idx5_x1101_y2301_class0.png,0,216.02
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10282/0,10282_idx5_x1051_y951_class0.png,0,180.6252
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10292/0,10292_idx5_x3151_y1101_class0.png,0,217.3248
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10292/0,10292_idx5_x1651_y601_class0.png,0,212.966
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/10273/1,10273_idx5_x1951_y651_class1.png,1,146.0352
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/14305/1,14305_idx5_x951_y651_class1.png,1,132.178
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/16551/0,16551_idx5_x1351_y1051_class0.png,0,209.354
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/9382/0,9382_idx5_x2201_y2801_class0.png,0,210.7576
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/13694/1,13694_idx5_x901_y2101_class1.png,1,173.4992
dataset/breast-histopathology-images/IDC_regular_ps50_idx5/13400/0,13400_idx5_x1851_y1251_class0.png,0,176.0728
